,title,URL,localization,surface,price,rent,num_of_rooms,building_material,heating,floor,num_of_floors,market,year,type_of_building,condition
61,Ustawne mieszkane na wysokim parterze ul. Chmaja,https://www.otodom.pl/pl/oferta/ustawne-mieszkane-na-wysokim-parterze-ul-chmaja-ID4dzXy,"prof. Ludwika Chmaja, Rzeszów, podkarpackie","58,40 m²",419 000 zł,,3,,miejskie,parter,4,wtórny,1961,blok,do zamieszkania
62,Mieszkanie Osiedle Architektów B3.3.M126,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b3-3-m126-ID4dzXw,"Rzeszów, Staroniwa, ul. Architektów","30,58 m²",281 336 zł,,2,,,3,8,pierwotny,2023,blok,
63,Wygodne Mieszkanie Osiedle Architektów B3.2.M123,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-b3-2-m123-ID4dzXq,"Rzeszów, Staroniwa, ul. Architektów","38,46 m²",323 064 zł,,2,,,2,,pierwotny,2023,blok,
64,Mieszkanie Osiedle Architektów B3.2.M122,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b3-2-m122-ID4dzXn,"Rzeszów, Staroniwa, ul. Architektów","37,41 m²",314 244 zł,,2,,,2,8,pierwotny,2023,blok,
65,Mieszkanie Osiedle Architektów B3.2.M121,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b3-2-m121-ID4dzXf,"Rzeszów, Staroniwa, ul. Architektów","30,58 m²",281 336 zł,,2,,,2,8,pierwotny,2023,blok,
66,Wygodne Mieszkanie Osiedle Architektów B3.1.M118,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-b3-1-m118-ID4dzVD,"Rzeszów, Staroniwa, ul. Architektów","38,46 m²",323 064 zł,,2,,,1,,pierwotny,2023,blok,
67,Przedsprzedaż! Mieszkanie z Ogródkiem Ustrzycka,https://www.otodom.pl/pl/oferta/przedsprzedaz-mieszkanie-z-ogrodkiem-ustrzycka-ID4dzVq,"Ustrzycka, Rzeszów, podkarpackie","57,14 m²",371 352 zł,,3,pustak,gazowe,parter,1,pierwotny,2022,blok,do wykończenia
68,Mieszkanie Osiedle Architektów B3.1.M117,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b3-1-m117-ID4dzWX,"Rzeszów, Staroniwa, ul. Architektów","37,41 m²",314 244 zł,,2,,,2,8,pierwotny,2023,blok,
69,Mieszkanie Osiedle Architektów B3.1.M116,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b3-1-m116-ID4dzWx,"Rzeszów, Staroniwa, ul. Architektów","30,58 m²",281 336 zł,,2,,,1,8,pierwotny,2023,blok,
70,Przytulne Mieszkanie Osiedle Architektów B3.0.M115,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-osiedle-architektow-b3-0-m115-ID4dzUH,"Rzeszów, Staroniwa, ul. Architektów","38,06 m²",319 704 zł,,2,,,parter,8,pierwotny,2023,blok,
71,Wygodne Mieszkanie Osiedle Architektów B3.0.M113,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-b3-0-m113-ID4dzUj,"Rzeszów, Staroniwa, ul. Architektów","38,46 m²",323 064 zł,,2,,,parter,,pierwotny,2023,blok,
